Encounter;Rarity;Terrain
Almost appearing majestically and magically, a planetar will stop the party and ask that they repent for the sins of their past. Each party member will then take turns admitting to one of their sins and asking forgiveness. The sins can be large or small, but if they lie they will need to roll a deception check DC16. If they fail, the planetar will give them a knowing look. For each player who didn't lie or whos deception check was a success, the planetar will give each one a white feather with a charm on each one. The player who failed their deception check will receive a white feather identical to the others but with a curse. After handing out the feathers, the planetar will vanish.;rare;Arctic, Coastal, Desert, Forest, Grassland, Hill, Mountain, Swamp
The party is surrounded by two mordakhesh who demand the party's service in retrieving a magic item for them from a tower of celestials. If the party refuses, the mordakhesh offer them a deal. With a high enough persuasion check, the fiends will agree. The mordakhesh will threaten the party as a last resort.;rare;Arctic, Coastal, Desert, Forest, Grassland, Hill, Mountain, Swamp
The party will come across a destroyed home with the owners attempting to clean up the rubble. If they party investigates, the owners will tell them an adult gold dragon came and destroyed their home for no reason. With a high enough survival check, the party can find the dragons hiding spot revealing it is a young gold dragon. If the party attempts conversation, they will learn the dragon was chasing some gnolls and got their head stuck in the house and was too embarrassed to admit their mistake. In recompense, the dragon will travel back with the party and offer 1,000gp to the owners to fix the damages to the home the dragon made.;common;Forest, Grassland
The characters encounters an unconsciou celestial, Aurelia. If the group helps wake her, she will ask about which plane she is on, and explains that she is from Mount Celestia. She will ask the party if they have seen any fiends recently, and will fly off once she has been given information.;very rare;Arctic, Coastal, Desert, Forest, Grassland, Hill, Mountain, Swamp
The group sees a ship off shore as a group of humanoids are loading up a dingy. As they approach a tabaxi (pirate captain) will try to enlist the party help in joining the crew. She's looking for some extra hands to help take on another ship that muntinied their last ship. If the party refuses, the pirates will allow them to leave and go on their way.;common;Coastal
A young boy has become bonded to a grey render. The party meets a group of 1d6 knights led by a warlord that want to kill the beast, even if it means killing the innocent child. The boy is pleading with the knights to let him and his friend go.;uncommon;Forest, Hill
The party comes across a wizard casting spells over graves. After a moment, a skeleton rises from the grave and wanders off. The wizard moves on to the next grave raising a zombie. They will continue doing this until the party steps in. The necromancer genuinely believes they are doing the right thing and is giving the people he raises a second chance at life. ;uncommon;Arctic, Coastal, Desert, Forest, Grassland, Hill, Mountain, Swamp
An ancient white dragon has a frost brand longsword pierced through its tail holding it to the ground. The dragon will ask for the party's help and explained they were cursed to live forever in one place and has been there for centuries. The dragon cannot remove the sword and is immune to taking damage and all spells. The party can easily remove the sword, but in doing so, they would set the dragon free.;rare;Arctic
After the party has set up camp, a clumsy druid will stumble upon them and ask to join the party at their fire and spend the night. He talks in his sleep and summons 2d4 + 2 poisonous snakes from the surroundings to join the camp. If the guard does not notice this the party may wake up with a snake or two in and under their sleeping bags. The druid does not wake up in the morning and a medicine check reveals he was bitten and has been paralyzed for several hours. Doing this medicine check also provokes the responsible snake to come out of hiding and attempt to defend its master. In the stuff of the druid there are 2 potions of antidote (with the side effect of not being able to talk/speak for 1d4+1 hours) and 3 home-made minor healing potions (one of these is actually a paralyzing poison instead).;common;Arctic, Coastal, Desert, Forest, Grassland, Hill, Mountain, Swamp, Underdark
A con-artist satyr (who is disguised as halfling due to disguise self) will attempt to appeal to one of the party in the party, claiming to be a friend from their past. If the party member doesn’t seem to recall any of his vague stories that could have happened to anyone he will use charm person to persuade the member to catch up on old times. At a moment of convenience the disguised satyr will use his dice of modify memory to play a game with the party member to alter their memory to incorporate himself. He does this all to reap the rewards for being an old-time friendly NPC.;uncommon;Arctic, Coastal, Desert, Forest, Grassland, Hill, Mountain, Swamp, Underdark
An autumn eladrin sits on a stone on the side of the path. She will waive the party over, and asks them if they want to get by safely. She'll agree to tell the party how if they can offer her three good gifts. If the party gives her three good gifts, she will teach them a whistle that they have to perform when they see an old oak tree about a mile down the path. She explains the oak is magical and could kill the party if they don't use the whistle. If they don’t whistle at the oak, nothing happens. The oak tree is not magical in any way, and the fey is just scamming travelers for gifts. If the party returns to where the eladrin was, she will not be there.;rare;Forest, Grassland
"A female alchemist dwarf walks her own small cart along the road. She ‘’brews a bit of ev’rythin’’ from acid to ale, from alchemist fire to potions of healing. She will only sell three items at a time and each item has to be different. She will avoid all questions regarding ""her secret"" and just let the results speak for themselves. If the party rolls high enough though, she will reveal that what she sells is the only thing she can make, potions of imagination. She developed a method to incorporate a magical potential in a liquid that is released with consumption, the effects are based on what the target believes it is similar to a placebo, for anyone without an expectation will drink colored water. The magic is not perfect though, and she can only create minor potions.";rare;Arctic, Coastal, Desert, Forest, Grassland, Hill, Mountain, Swamp
A frightened man bolts onto the road towards the party, he is running for his life. Out of breath he begs their protection and to get him away as quickly as possible, if the party hesitates he will hand them a small wooden box and runs off. He seems to be a researcher of some sort with a notebook strapped to his chest and a backpack full of tracking gear on his back. A high-pitched buzzing sound comes from the side of the road. Opening the box will reveal a small glass canister which seems to be holding some sort of insect, a knowledge nature check might reveal it to be a bee, a high roll will show it to be a queen bee. A moment after the researcher runs off angry buzzing gets very loud a 2d4+2 swarms of bees (wasps) come rushing at the party. If they throw the box away half the swarms will go off and protect their queen while the others attempt to chase off the humanoids. After successfully running away from the bees. The researcher will return and ask about the box. They will then exclaim how valuable that specific queen bee is and how he needs the party's help getting it back.;uncommon;Forest
A group of 15 rough looking soldiers have barred the road with two heavy carts. They will roll the carts out of the way for a ‘’Duke’s aid’’ fee of 7gp per person. They can be negotiated with until 4 gold pieces but any lower and they turn sour. Upon being met with any hostilities they will overturn their carts and use the slits they cut in the bottom to shoot crossbows from almost total cover while their foot soldiers use a make-shift towershield to advance on the party. If 5 of soldiers die and they are not clearly winning, they will give up and surrender allowing the party to pass without payment.;uncommon;Arctic, Coastal, Desert, Forest, Grassland, Hill, Mountain, Swamp
A group of farmers (commoners) you meet on the road are relocating to the nearest city as they lost their houses and families in recent orc raids on their hamlets. They will try to sell the party anything they have left for some money so they can survive in the city and not end up in the streets as beggars, livestock, heirlooms, their cart, even their last pack animal. One of them is even so desperate that he will sell his daughters hand in marriage for a handful of gold.;common;Arctic, Coastal, Desert, Forest, Grassland, Hill, Mountain, Swamp
A group of kids follows you from the hamlet you just passed by. They shoot berries at the party using improvised blowpipes (+7 to hit, 1 bludgeoning damage) and throwing stones (+4 to hit, 1d4-1 damage). They have set some weird traps in the surrounding forest to get away when followed (sweeping branch dexterity save, which cuts movement for that round on a success and deals 1d4 slashing damage on a fail).;common;Arctic, Coastal, Forest, Swamp
A huge brown bear lays groaning at the side of the road. When you get closer you see there is a wounded and unconscious man laying under one of its huge paws dressed in lively garb, three other men colour the road with their own entrails. The bear wears a bright collar now stained red, the bear is gravely wounded but will still protect his master until it dies. If healed, the performer will tell the party that it happened very quickly, but there were at least 4 soldiers being there.;uncommon;Arctic, Coastal, Desert, Forest, Grassland, Hill, Mountain, Swamp
Loud banging can be heard in the distance. If the party investigates they will find a family attempting to build a new home for themselves. If the party helps out, the house can be finished in two days time. The family will thank them for their help and reward them with a family heirloom of some kind or a random uncommon magic item.;common;Coastal, Forest, Grassland, Hill, Mountain, Swamp
A cloaked knight (Captain Othelstan) and their squire block the road, if one of the party members is part orc, tielfing, or goblin, the knight will demand a trial by combat handing off his cloak and receiving his weapon from his squire. His creed demands him to rid the civilized world of barbaric and evil beings. He will yield as soon as he goes below 10% of his hit points or if he needs to use his Tiamat’s Blessing of Retribution ability.;uncommon;Arctic, Coastal, Desert, Forest, Grassland, Hill, Mountain, Swamp, Underdark
"The party can hear a woman screaming in the distance, upon investigating, they will see a man hanging from his arms by chains in a large tree and a woman being dragged by three soldiers towards the tree begging for help. The woman seems to have dropped a knife and a small sign hangs from the hanging man's neck that reads, ""Sentenced to die for his crimes, any that support him will suffer the same fate"". She is the daughter of the chained half-dead man and came to finish his suffering but couldn’t. When the soldiers saw her, they grabbed her and are planning to hang her next to her father for interfering.";rare;Forest, Grassland, Hill, Mountain, Swamp
